condition,run,matched_samples,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,state_frequency_hz
reliable_idle,1,600,99.829939,99.778539,102.090436,102.245291,104.198034,10.000008
reliable_idle,2,600,99.669856,99.781073,102.114065,102.297035,102.472933,9.999627
reliable_idle,3,600,99.822269,99.788555,102.085077,102.276520,102.480784,9.999789
reliable_idle,4,600,99.826226,99.783290,102.136850,102.373807,102.436355,9.999733
reliable_idle,5,600,99.832076,99.797869,102.050355,102.178625,102.319537,9.999937
best_effort_idle,1,600,99.825288,99.808017,102.213142,102.430512,102.620146,10.000352
best_effort_idle,2,600,99.831979,99.819670,102.152092,102.339691,102.609872,10.000302
best_effort_idle,3,600,99.822415,99.797066,102.166919,102.407617,104.944969,9.999858
best_effort_idle,4,600,99.825294,99.810619,102.178759,102.376790,104.661107,10.000085
best_effort_idle,5,600,99.834601,99.809819,102.163167,102.423505,102.487035,10.000008
cpu_stress,1,600,99.935507,99.953028,107.453243,110.281493,112.518222,9.999900
cpu_stress,2,600,99.944850,99.940740,107.925601,110.364341,112.279949,9.999866
cpu_stress,3,600,99.940964,99.949814,107.289309,109.337032,116.340708,10.000111
cpu_stress,4,600,99.941935,99.946014,107.344667,110.168533,113.193742,10.000069
cpu_stress,5,600,100.438296,99.944479,107.189437,111.176956,408.008595,9.950161
