test,repetition,start_monotonic_ns,end_monotonic_ns,latency_ms,success,scope
watchdog_state_transition,0,35650180419462,35651480167968,1299.748506,True,software_state_only
watchdog_state_transition,1,35651580313793,35652679814194,1099.500401,True,software_state_only
watchdog_state_transition,2,35652780350829,35653980175325,1199.824496,True,software_state_only
watchdog_state_transition,3,35654080349677,35655180347902,1099.998225,True,software_state_only
watchdog_state_transition,4,35655280356646,35656480136664,1199.780018,True,software_state_only
watchdog_state_transition,5,35656580602833,35657679218978,1098.616145,True,software_state_only
watchdog_state_transition,6,35657780385005,35658980123836,1199.738831,True,software_state_only
watchdog_state_transition,7,35659080480362,35660180159004,1099.678642,True,software_state_only
watchdog_state_transition,8,35660280462631,35661480221820,1199.759189,True,software_state_only
watchdog_state_transition,9,35661580466089,35662680150266,1099.684177,True,software_state_only
watchdog_state_transition,10,35662780281918,35663980094659,1199.812741,True,software_state_only
watchdog_state_transition,11,35664080434832,35665180444006,1100.009174,True,software_state_only
watchdog_state_transition,12,35665280759382,35666480129049,1199.369667,True,software_state_only
watchdog_state_transition,13,35666580460733,35667680128033,1099.667300,True,software_state_only
watchdog_state_transition,14,35667779795228,35668980222979,1200.427751,True,software_state_only
watchdog_state_transition,15,35669080326487,35670180234357,1099.907870,True,software_state_only
watchdog_state_transition,16,35670279833382,35671480245952,1200.412570,True,software_state_only
watchdog_state_transition,17,35671580599927,35672680228049,1099.628122,True,software_state_only
watchdog_state_transition,18,35672779637904,35673980362556,1200.724652,True,software_state_only
watchdog_state_transition,19,35674080436378,35675180219992,1099.783614,True,software_state_only
emergency_stop_service_to_status,0,35675280349179,35675380211551,99.862372,True,software_state_only
emergency_stop_service_to_status,1,35675484296456,35675580514663,96.218207,True,software_state_only
emergency_stop_service_to_status,2,35675683907900,35675779693573,95.785673,True,software_state_only
emergency_stop_service_to_status,3,35675880814007,35675980256930,99.442923,True,software_state_only
emergency_stop_service_to_status,4,35676083996649,35676180545832,96.549183,True,software_state_only
emergency_stop_service_to_status,5,35676284319854,35676380248569,95.928715,True,software_state_only
emergency_stop_service_to_status,6,35676484124543,35676580355280,96.230737,True,software_state_only
emergency_stop_service_to_status,7,35676684020390,35676779253124,95.232734,True,software_state_only
emergency_stop_service_to_status,8,35676881008521,35676980222812,99.214291,True,software_state_only
emergency_stop_service_to_status,9,35677083928206,35677180461153,96.532947,True,software_state_only
emergency_stop_service_to_status,10,35677283942511,35677380240228,96.297717,True,software_state_only
emergency_stop_service_to_status,11,35677484068884,35677580552036,96.483152,True,software_state_only
emergency_stop_service_to_status,12,35677683955698,35677779668500,95.712802,True,software_state_only
emergency_stop_service_to_status,13,35677880847585,35677980518047,99.670462,True,software_state_only
emergency_stop_service_to_status,14,35678084123409,35678180547952,96.424543,True,software_state_only
emergency_stop_service_to_status,15,35678284338776,35678380253607,95.914831,True,software_state_only
emergency_stop_service_to_status,16,35678484316013,35678580269630,95.953617,True,software_state_only
emergency_stop_service_to_status,17,35678683981228,35678779204078,95.222850,True,software_state_only
emergency_stop_service_to_status,18,35678880713539,35678980233823,99.520284,True,software_state_only
emergency_stop_service_to_status,19,35679084025847,35679180242674,96.216827,True,software_state_only
