scenario,method,start_normalized_percent,end_normalized_percent,duration_s,sample_period_s,time_s,position_normalized_percent,velocity_percent_per_s,acceleration_percent_per_s2,jerk_percent_per_s3
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.000000,0.000000,0.000000,0.000000,6000.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.020000,0.007762,1.152480,112.896000,5294.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.040000,0.060221,4.423680,211.968000,4617.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.060000,0.197027,9.542880,297.792000,3969.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.080000,0.452526,16.250880,370.944000,3350.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.100000,0.856000,24.300000,432.000000,2760.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.120000,1.431890,33.454080,481.536000,2198.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.140000,2.200029,43.488480,520.128000,1665.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.160000,3.175875,54.190080,548.352000,1161.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.180000,4.370734,65.357280,566.784000,686.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.200000,5.792000,76.800000,576.000000,240.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.220000,7.443378,88.339680,576.576000,-177.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.240000,9.325117,99.809280,569.088000,-566.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.260000,11.434243,111.053280,554.112000,-926.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.280000,13.764782,121.927680,532.224000,-1257.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.300000,16.308000,132.300000,504.000000,-1560.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.320000,19.052626,142.049280,470.016000,-1833.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.340000,21.985085,151.066080,430.848000,-2078.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.360000,25.089731,159.252480,387.072000,-2294.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.380000,28.349070,166.522080,339.264000,-2481.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.400000,31.744000,172.800000,288.000000,-2640.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.420000,35.254034,178.022880,233.856000,-2769.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.440000,38.857533,182.138880,177.408000,-2870.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.460000,42.531939,185.107680,119.232000,-2942.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.480000,46.253998,186.900480,59.904000,-2985.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.500000,50.000000,187.500000,0.000000,-3000.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.520000,53.746002,186.900480,-59.904000,-2985.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.540000,57.468061,185.107680,-119.232000,-2942.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.560000,61.142467,182.138880,-177.408000,-2870.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.580000,64.745966,178.022880,-233.856000,-2769.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.600000,68.256000,172.800000,-288.000000,-2640.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.620000,71.650930,166.522080,-339.264000,-2481.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.640000,74.910269,159.252480,-387.072000,-2294.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.660000,78.014915,151.066080,-430.848000,-2078.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.680000,80.947374,142.049280,-470.016000,-1833.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.700000,83.692000,132.300000,-504.000000,-1560.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.720000,86.235218,121.927680,-532.224000,-1257.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.740000,88.565757,111.053280,-554.112000,-926.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.760000,90.674883,99.809280,-569.088000,-566.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.780000,92.556622,88.339680,-576.576000,-177.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.800000,94.208000,76.800000,-576.000000,240.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.820000,95.629266,65.357280,-566.784000,686.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.840000,96.824125,54.190080,-548.352000,1161.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.860000,97.799971,43.488480,-520.128000,1665.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.880000,98.568110,33.454080,-481.536000,2198.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.900000,99.144000,24.300000,-432.000000,2760.000000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.920000,99.547474,16.250880,-370.944000,3350.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.940000,99.802973,9.542880,-297.792000,3969.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.960000,99.939779,4.423680,-211.968000,4617.600000
T07,quintic,0.000000,100.000000,1.000000,0.020000,0.980000,99.992238,1.152480,-112.896000,5294.400000
T07,quintic,0.000000,100.000000,1.000000,0.020000,1.000000,100.000000,0.000000,0.000000,6000.000000
