scenario,controller,iteration,time_s,start_normalized_percent,target_normalized_percent,measurement_normalized_percent,error_normalized_percent,effort_normalized_percent_per_s,kp,ki,kd
P_0_100,P,0,0.000000,0.000000,100.000000,0.000000,100.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,1,0.020000,0.000000,100.000000,2.000000,98.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,2,0.040000,0.000000,100.000000,4.000000,96.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,3,0.060000,0.000000,100.000000,6.000000,94.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,4,0.080000,0.000000,100.000000,8.000000,92.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,5,0.100000,0.000000,100.000000,10.000000,90.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,6,0.120000,0.000000,100.000000,12.000000,88.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,7,0.140000,0.000000,100.000000,14.000000,86.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,8,0.160000,0.000000,100.000000,16.000000,84.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,9,0.180000,0.000000,100.000000,18.000000,82.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,10,0.200000,0.000000,100.000000,20.000000,80.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,11,0.220000,0.000000,100.000000,22.000000,78.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,12,0.240000,0.000000,100.000000,24.000000,76.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,13,0.260000,0.000000,100.000000,26.000000,74.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,14,0.280000,0.000000,100.000000,28.000000,72.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,15,0.300000,0.000000,100.000000,30.000000,70.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,16,0.320000,0.000000,100.000000,32.000000,68.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,17,0.340000,0.000000,100.000000,34.000000,66.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,18,0.360000,0.000000,100.000000,36.000000,64.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,19,0.380000,0.000000,100.000000,38.000000,62.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,20,0.400000,0.000000,100.000000,40.000000,60.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,21,0.420000,0.000000,100.000000,42.000000,58.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,22,0.440000,0.000000,100.000000,44.000000,56.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,23,0.460000,0.000000,100.000000,46.000000,54.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,24,0.480000,0.000000,100.000000,48.000000,52.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,25,0.500000,0.000000,100.000000,50.000000,50.000000,100.000000,2.000000,0.000000,0.000000
P_0_100,P,26,0.520000,0.000000,100.000000,52.000000,48.000000,96.000000,2.000000,0.000000,0.000000
P_0_100,P,27,0.540000,0.000000,100.000000,53.920000,46.080000,92.160000,2.000000,0.000000,0.000000
P_0_100,P,28,0.560000,0.000000,100.000000,55.763200,44.236800,88.473600,2.000000,0.000000,0.000000
P_0_100,P,29,0.580000,0.000000,100.000000,57.532672,42.467328,84.934656,2.000000,0.000000,0.000000
P_0_100,P,30,0.600000,0.000000,100.000000,59.231365,40.768635,81.537270,2.000000,0.000000,0.000000
P_0_100,P,31,0.620000,0.000000,100.000000,60.862111,39.137889,78.275779,2.000000,0.000000,0.000000
P_0_100,P,32,0.640000,0.000000,100.000000,62.427626,37.572374,75.144748,2.000000,0.000000,0.000000
